p_miles_from,p_miles_to,p_avios_econ,p_avios_biz
1,650,6000,12500
651,1150,9000,16500
1151,2000,11000,22000
2001,3000,13000,38750
3001,4000,20750,62000
4001,5500,25750,77250
5501,6500,31000,92750
6501,7000,36250,108250
7001,100000,51500,154500
