ba_miles_from,ba_miles_to,ba_avios_econ,ba_avios_biz
1,650,4750,8500
651,1150,7250,13500
1151,2000,9250,17750
2001,3000,10000,31250
3001,4000,13000,50000
4001,5500,16250,62500
5501,6500,19500,75000
6501,7000,22750,87500
7001,100000,32500,125000
