mp_miles_from,mp_miles_to,mp_avios_econ,mp_avios_biz
0,1500,30000,60000
1501,4000,35000,70000
4001,9000,60000,120000
9001,10000,70000,140000
10001,14000,90000,180000
14001,20000,100000,200000
20001,25000,120000,240000
25001,35000,140000,280000
35001,50000,160000,320000
